concatenate	verketten
descent	Abstammung
to busk	Music spielen für freiwillige Spenden
to eschew sth.	etw. meiden
aforementioned	vorgenannt
hence	daher, deshalb
sibling	geschwister, verwandte
adjacent	angrenzend, benachbart
to be crestfallen	geknickt sein
tinted	getönt
unaccountable	unerklärlich
dysfunctional	nicht funktionierend
to be sympathetic with	mitfühlend sein mit
to reckon	denken
hostile	feindlich, feindselig
afforded by	geboten von / geboten durch
harsh	streng, rau, schroff
codify	kodifizieren, verschlüsseln
charter	Zulassung, Konzession
to anticipate sth.	etw. erwarten
elastane	Elasthan
polyamide	Polyamid
ehilarating	berauschend
to instill sth. into sb.'s mind	etw. (Gedanken/Einstellungen) einflößen
chives	Schnittlauch
bombshell	Bombe, plötzliche Überraschung
treason	Verrat
meatgrinder	Fleischwolf
respiratory system	Atemwege, Atmungssystem
rightfully	rechtmäßig
frowned upon	verpönt
graceful degradation	sanfte Degradierung Mit Graceful degradation wird eine auf Stabilität und Sicherheit gerichtete Reaktion eines Computer-Systems auf Probleme genannt, bei der das System den Betrieb so weit wie möglich aufrechterhält.
the converse of	das Gegenteil von
admittledly	zugegebenermaßen
oddly	seltsam
wrecking the user experience	Zerstörung der User Experience
to wreck sth.	etw. zerstören
novelty	Neuheit
to steer clear of sb./sth.	jmd./etw. meiden, sich von jmd./etw. fernhalten
varied	variiert
ubiquitous	allgegenwärtig
readily	ohne weiteres, leicht
to adhere to sth.	etw. einhalten
tedious	langweilig
albeit	wenn auch
pain poits	Schwachstellen, Schmerzpunkte
flounder	Flunder
to be susceptible to sth.	für etw. anfällig sein
admission	Eingeständnis
down pat	aus dem Effeff
genuine	aufrichtig, echt
valuation	Bewertung
to warrent sth.	etw. gewährleisten
admission to the market	Marktzulassung
palatable	schmackhaft
diligent	fleißig
malice	Bosheit
ostensible	angeblich
to be capricious	launisch sein
wavering	schwanked
to flounder	stammeln
perception	Wahrnehmung
roque	Schelm, Gauner
remedial	Abhilfe schaffen
revulsion	Abscheu
ostracized	geächtet
ransom	Lösegeld
rye	Roggen
unprecedented	beispiellos
spoke	Speiche
extensive abdominal	Bauchumfang
hollow	hohl
verbose	langatmig, wortreich
transient	kurzlebig
ant trail	Ameisenstrasse
capricorn	Steinbock
trail	Spur, Pfad
translucent	Transparent
melee	Handgemenge
laughable	lächerlich, erbärmblich
brim	Kante, Rand
suffocating	einengend, erstickend
warrant	Haftbefehl
fate	Schicksal
agitated	aufgewühlt, erregt
wedlock	Ehe
to drool over sth.	nach etw. lechzen
comprehensive	umfassend
to take precedence	Vorrang haben
succinct description	kurze, prägnante Beschreibung
terse answer	knappe Antwort
to spawn sth.	etw. erzeugen, hervorbringen
moniker	Pseudonym
the plethora	die Fülle
no pun intended by	kein Wortspiel beabsichtigt durch
parlance	Sprachgebrauch
to slog through sth.	sich durch etw. durchschlagen
to hold true for so./sth.	für jmdn./etw. gelten
contraction	Kontraktion, Zusammenziehung
deception	Täuschung
restriction	Beschränkung
improper	unsachgemäß
legibility	Lesbarkeit
to omit sth.	etw. auslassen
twiddle	drehen
flaccid	schlaff
paper tape	Tapezierband
to redeem sth.	etw. einlösen
puny	kümmerlich
to peruse sth.	etw. prüfen, durchsehen
assessment	Bewertung
syllabus	Lehrplan
shorthand	Kurzschreibweise
culprit	Täter
the likely culprit	der wahrscheinliche Täter
advantageous	vorteilhaft
assertion	Behauptung
intangible goods	immaterielle Güter
to delve into sth.	in etw. eintauchen / etw. vertiefen
to run flush	bündig verlaufen
snug (adj.)	gemütlich
intrepid	unerschrocken
to be astute	schlau, scharfsinnig sein
omission	Auslassung, Wegfall
conundrum	Rätsel
brittle (adj.)	spröde
the innermost	das Innerste
the outermost	das Äußerste
unwieldy	unhandlich
to diminish sth.	etw. vermindern, verringern
erratum	Fehler, Irrtum
cigarette buds	Zigarettenstummel
bomb site	Ort an dem eine Bome explodiert ist.
solicitor	Rechtsanwalt
fall in someone's favor	bei jdm. in ungnade fallen
bottle deposit	Flaschenpfand
sophisticated	anspruchsvoll
to twiddle sth.	etwas drehen
peaky	kränklich
papal	päpstlich
the latest fad	die neueste Mode
vertices	Eckpunkte
ending point	Endpunkt
curvature	Krümmung
to move sth. farther	etw. weiter weg bewegen
tangent	Tangente
convolution	Windung, Verschlungenheit
reverberation	Nachhall, Hall
a kerfuffle over sth.	eine Balgerei wegen etw.
umbrella term	Oberbegriff
without further ado	ohne Weiteres, kurzerhand
trembling	Zittern
succinctly	kurz und bündig
assault	Angriff
scrutiny	Überprüfung
untimely	verfrüht, vorzeitig
to coerce sth.	etw. erzwingen
to solidify sth.	etw. verfestigen
deterministic	vorhersagbar, deterministisch
to be negligent	fahrlässig sein
to be arduous	anstrengend sein
to relinquish control	Kontrolle abgeben
to take leeway	Spielraum nehmen
to instantiate sth.	etw. instanziieren / eine Instanz erzeugen
tenure	Amtszeit
exess	Selbstbeteiligung
surgery	Chirurgie
tresses	Strähnen
fawn	Rehkitz
savage	wild, grausam
convoluted	verwunden, verschlungen
chain grease	Kettenfett
to get on the gravy train	absahnen
coffee maker	Kaffeemaschine
ethnographic	Völkerbeschreibung (Teil der Völkerkunde, der die Merkmale der verschiedenen Völker und Kulturen systematisch beschreibt; beschreibende Völkerkunde)
off-the-cuff	aus dem Stegreif
evocative	ausdrucksstark
didactic	didaktisch (belehrend, lehrhaft)
tentative	vorläufig
noncommittal	unverbindlich
depiction	Darstellung
to eliminate sth.	etw. beseitigen
convergence	Konvergenz (Annäherung)
reification	Verdinglichung
retrograde motion	rückläufige Bewegung
cameo	Name eines Schmuckstücks. Typischerweise oval, bestehend aus einem Porträt im Profil geschnitzt.
versatil	vielseitig
to be aghast	erschauern, entgeistert sein.
gall [2]	Galle, Frechheit
to be ramshackle	baufällig, morsch, klapprig sein
to be ample	reichlich, hinreichend, genügend sein
every other week	jede 2. Woche
hinge system	Scharniersystem
tinkerer	Tüftler
deeds	Taten
trajectory	Flugbahn
literacy	Alphabetisierung
to resonate	mitschwingen
inception	Beginn, Anfang
facilitator	Vermittler
participatory	teilnehmend, mitwirkend
consecutive	fortlaufend (aufeinander folgend)
allegation	Vorwurf, Anschuldigung, Beschuldigung
to emanate from sth.	von etw. ausströmen, ausstrahlen
to be keen on sth.	auf etw. scharf sein, von etw. begeistert sein
nocturnal	nächtlich
to pertain to so./sth.	zu jmdm./etw. gehören
to be candid	offen, aufrichtig, ehrlich sein
succint	kurz
to haggle	feilschen
entrust	anvertrauen
leeway	Spielraum
ancestor	Vorfahr
conduit pipe	Leitungsrohr
to be distinct from	sich unterscheiden von
the multiplex	der Mehrfachbetrieb
to multiplex sth.	etw. bündeln
resurrection	die Auferstehung
on the verge of sth.	am Rande von etw. z.B. am Rande des Aussterbens.
to be petulant	gereizt, launisch sein
infinity	unendlich, Unendlichkeit
some good arguments	einige gute Argumente
jitney	unlicensed taxi cab
reprehensible	verwerflich, unmoralisch
to misconstrue sth.	etw. missdeuten, fehldeuten
bonafide	ehrlich, aufrichtig
to be unrepentant	reuelos, ohne Reue sein
noncombustible	nicht brennbar
to ameliorate sth.	etw. verbessern
upwards compatible	aufwärtskompatibel
requirement	Voraussetzung
confirmation	Bestätigung
to waive sth.	auf etwas verzichten
trailblazer	Wegbereiter
acute	akut
upheaval	umstürzen
air quotes	in Anführungszeichen Air quotes are a pair of quotation marks gestured by a speaker's fingers in the air, to indicate that what is being said is ironic or mocking, or is not a turn of phrase the speaker would typically employ.
manslaughter	Totschlag, fahrlässige Tötung
the envoy	der (Ab)gesandte, der Bote
veneer	Furnier, Anstrich
exaggeration	Übertreibung
dignity	Würde
fathomless	unergründlich, unermesslich
ponderous	schwerfällig
to defuse a situation.	eine Situation entschärfen
to aggravate sth.	etw. verschlimmern, erschweren
eggplant	Aubergine
famine	Hungersnot
to embellish sth.	etw. verschönern
grandeur	Größe
splendor	Pracht
chieftain	Häuptling
Food for thought	Denkanstoß, Stoff zum Nachdenken
to put sth. into question	etw. in Frage stellen
to bring sth. into line	etw. ausrichten
vertex	Höhepunkt, Spitze
saccades	Sakkaden, Augenbewegungen
ice cream cone	Eistüte
attuned	Abgestimmt
proximity	räumliche Nähe
so on and so forth	und so weiter und so fort
intricacies	Feinheiten
erroneous	fehlerhaft
explanatory	erklärend
to approximate	schätzen, überschlagen
to defy sth.	etw. trotzen
to toe a line	sich anpassen, einer (Partei-)Linie folgen.
adage	Sprichwort
blatant	eklatant
to endow sth.	etw. schenken
sonic boom	Überschallknall
remuneration	Vergütung
deviation from contract	Abweichung vom Vertrag
to preclude sth.	etw. ausschließen
discernible	erkennbar
flogging	Auspeitschen
accrual	Rückstellung
conceptual	Begrifflich, abstrakt
to be intertwined	verflochten sein
a protracted dispute	ein langwieriger Disput
anguish	Qual, Pein
cladding	Verkleidung
to be protracted	langwierig sein
short hand	Kürzel, Kurzschrift
liken	vergleichen
parentheses	ae. runde Klammern ()
round brackets	be. runde Klammern ()
to impose sth.	etwas aufzwingen
brittle (noun)	Krokant
to be conceivable	denkbar sein
to comprise sth.	etw. umfassen
to convene a meeting	ein Meeting einberufen
ambiguous	mehrdeutig
to rebuke sbd./sth.	etw./jdn. tadeln
lopsided	schief, asymmetrisch
pretence	Vowand
merit	Verdienst
inextricable	unentwirrbar
unfettered	ungehindert
to circumvent sth.	etw. umgehen
sovereignty	Souveränität
to step up sth.	etw. verstärken
regulatory department	Regulierungsbehörde
annihilation	Vernichtung
assemblage	Versammlung
depraved	unmoralisch, verdorben
depravity	Verdorbenheit
to disgorge sth.	etw. ausstoßen
prowess	Fähigkeiten
bird's-eye view	Vogelperspektive
oppressed	unterdrückt
friction	Reibung
judicious	vernünftig
an evocative name	ein wohlklingender Name
obnoxious	widerlich
to reify sth.	etw. verdinglichen
usage tier	Benutzungsstufe
tier	Stufe, Rang
hypothermia	Unterkühlung
customary	üblich
menace	Bedrohung
to suppose sth.	etw. annehmen
proliferation	Wucherung, Vermehrung
paramount	vorrangig
anticipation	Erwartung
feasible	machbar
to curtail sth.	etwas beschneiden, kürzen
deviating	abweichend
nuisance	Ärgernis
stag party	Junggesellenabschied
lewd behaviour	unzüchtiges Verhalten
to mirk at. sbd./sth.	jdn./etw. angrinsen
wont	Gewohnheit
tenet	Dogma
epiphany	Offenbarung
stem	Stiel
pillar	Säule
maze	Labyrinth
defector	Überläufer
tomb	Grab
mosquito coil	Anti-Mücken Räucherring
idolatry	Götzendienst
hammock	Hängematte
pristine	unberührt
sea lice	Seeläuse
toad	Kröte
to belittle sth.	etw. schmälern, kleinhalten
to ostracize sth.	etw. ächten
to gauge sth.	etw. messen
throughput	Durchsatz
a measure of	ein Maß für
swagger	Schlafsack
shandeleon	Kronleuchter
dire	düster
to scrutinize sth.	etw. prüfen
narrative	Erzählung
slack	locker
swarm intelligence	Schwarmintelligenz
mercenary	Söldner
foiled attack	vereitelter Angriff
to indict sbd./sth.	jdn./etw. anklagen
overage charge	Zusatzgebühr
to discern sbd./sth.	jmdn./etw. erkennen
myopic	kurzsichtig (i.e. nearsighted)
preclude	ausschließen
cadence	Kadenz; (zu einem Abschluss führende Akkordfolge)
siege	Belagerung
irritable	reizbar, gereizt
apprehensive	besorgt
demystified	entmystifiziert
inexplicable	unerklärlich
to contend	sich einsetzen
specter	Gespenst
peril	Gefahr
auspicious	glückverheißend
perpendiculary	senkrecht
perpendicular	aufrecht
transverse	quer(laufend)
vociferous	lautstark
compassion	Mitgefühl
risk hedge	Risikoabsicherung
swim line diagram	Schwimmliniendiagramm
sewage	Abwasser
interdependence	gegenseitige Abhängigkeit
negligent	fahrlässig
procedurally	prozessual
to supersede sbd. or sth.	jmd. oder etw. ersetzen
raft	Floß
unknotting	entknote
untangle	entwirren
accusation	Vorwurf
to elicit sth.	etwas entlocken
poignant	ergreifend
tomboy	Wildfang
soluble	löslich
dejected	niedergeschlagen, depressed
unforgiving	nachtragend
cognizant	erkennend, wahrnehmend
ambush	Hinterhalt
reproachfully	vorwurfsvoll
pear	Birne
obituary	Todesanzeige
seduction	Verführung
petrified	versteinert
havoc	Verwüstung
monastery	Kloster
to be succumb to sbd./sth.	jdm./etw. erliegen
punitive	strafend
coercion	Zwang
corporal punishment	körperliche Bestrafung
efficacy	Wirksamkeit
empiricism	Empirismus
to deviate from sth.	von etw. abweichen
proficient	geübt
impediment	Behinderung
to depreciate sth.	etw. abwerten
immutable	unveränderlich
increment	Zuwachs
confluent	zusammenlaufend
to defer sth.	etw. aufschieben
to discern sth.	etw. erkennen
foibles	Schwächen
inertia	Trägheit
data avoidance	Datenvermeidung
data minimization	Datensparsamkeit
dyslexic	Legastheniker
dyslexia	Legasthenie
pension	Rente
ulterior	versteckt, verborgen
virtue	Tugend
antechamber	Vorzimmer
demise	Ableben
ardent	leidenschaftlich
paraphernalia	Utensilien
assertive	durchsetzungsfähig
memento	Andenken
itinerary	Reiseroute
tangible	konkret
blip	Ein blinkender Lichtpunkt auf einem Radarschirm, der ein Objekt darstellt, typischerweise begleitet von einem hohen Ton.
meager	mager
to procure sth.	etw. besorgen
to sift sth.	etw. sieben
kink	Knick
kinky	schrullig
thud	Schlag
fuse box	Sicherungskasten
a direct descendent	ein direkter Nachkomme
descendent	absteigend
ascending	aufsteigend
boon	Segen
insight	Erkenntnis
familiar	ungewohnt
adversity	Wiedrigkeit
public holiday	Feiertag
incumbent	Amtsinhaber
regress	sich rückläufig bewegen
brackets	eckige Klammern [ ]
ambiguity	Mehrdeutigkeit
abominable	abscheulich
coarse	grob
to enumerate sth.	etw. aufzählen
entitlement	Anspruch
tailwind	Rückenwind
to mend sth.	etw. heilen
the culprit	der Täter
seesaw	Wippe
zipline	Seilbahn
valve	Ventil
dispersed	verteilt
dissipate	zerstreuen
brooding	Grübeln
corollary	logische Folge
deluged	überflutet, überschwemmt
outdoor pool	Freibad
to be on a leash	angeleint sein
to prune sth.	etw. beschneiden, wegstreichen
to be evious	neidisch sein
exaggerated	übertrieben
serendipity	Fügung, Glücksfall
to curtail sth.	etw. kürzen, etw. einschränken
vagaries of life	Launen des Lebens
ambiguious	mehrdeutig
train driver	Lokführer
Wachtel	quail
mutually	gegenseitig
precursor	Vorläufer
cognition	Erkenntnis, Wahrnehmung
nutritious	nahrhaft
intricately	kompliziert
tacit	stillschweigend
to deteriorate	verschlechtern
tile	Fliese
previous tenant	Vormieter
property management	Hausverwaltung
retention	Speicherung, Beibehaltung
humongous	gigantisch
colleagues	Kolleginnen / Kollegen
yeast	Hefe
burgeoning	aufkeimend
clay	Lehm
precedent	Präzedenzfall
to hamstring sth.	etw. lahmlegen
disbursement	Auszahlung
installment (finance)	Teilzahlung
ephemeral	flüchtig, kurzlebig
under the auspices of	unter der Schirmherrschaft von
to supersede someone / something	jemanden / etwas verdrängen
to encompass	umfassen, umgeben
to reconcile	abgleichen, abstimmen
to reconcile sth. with sth.	etw. mit etw. in Einklang bringen
to multiplex	bündeln
